dataset,method,model,condition,ssim_mean,ssim_ci_lower,ssim_ci_upper,psnr_mean,psnr_ci_lower,psnr_ci_upper,rank1_mean,rank1_ci_lower,rank1_ci_upper,rank5_mean,rank5_ci_lower,rank5_ci_upper
OASIS,U-Net,ResNet-18,gs0,0.937204122543335,0.9323380589485168,0.9418096542358398,33.43991470336914,32.93787384033203,33.923179626464844,0.24154589371980675,0.18357487922705315,0.30434782608695654,0.5458937198067633,0.47342995169082125,0.6135265700483091
OASIS,U-Net,DenseNet-121,gs0,0.937204122543335,0.9323380589485168,0.9418096542358398,33.43991470336914,32.93787384033203,33.923179626464844,0.45893719806763283,0.391304347826087,0.5265700483091788,0.7294685990338164,0.6714975845410628,0.7874396135265701
OASIS,U-Net,ResNet-18,gs50,0.7185888886451721,0.7127274870872498,0.7240557670593262,26.4971981048584,26.292842864990234,26.699630737304688,0.028985507246376812,0.00966183574879227,0.05314009661835749,0.09178743961352658,0.05314009661835749,0.1305555555555549
OASIS,U-Net,DenseNet-121,gs50,0.7185888886451721,0.7127274870872498,0.7240557670593262,26.4971981048584,26.292842864990234,26.699630737304688,0.01932367149758454,0.004830917874396135,0.03864734299516908,0.07246376811594203,0.04335748792270532,0.1111111111111111
