condition,arch,init,top1_acc,top5_acc,rand_base
raw,resnet18,Pretrained,69.46787800129786,81.53796236210253,0.05750431282346176
raw,resnet18,Scratch,20.214146658014275,35.983127839065546,0.05750431282346176
raw,densenet121,Pretrained,74.36729396495781,86.04802076573654,0.05750431282346176
raw,densenet121,Scratch,18.299805321219985,33.6145360155743,0.05750431282346176
gs0,resnet18,Pretrained,1.200519143413368,4.120700843608047,0.05750431282346176
gs0,resnet18,Scratch,1.7196625567813109,5.061648280337443,0.05750431282346176
gs0,densenet121,Pretrained,1.654769630110318,6.099935107073328,0.05750431282346176
gs0,densenet121,Scratch,0.9085009733939001,2.9201817001946786,0.05750431282346176
gs50,resnet18,Pretrained,0.06489292667099286,0.32446463335496434,0.05750431282346176
gs50,resnet18,Scratch,0.06489292667099286,0.2920181700194679,0.05750431282346176
gs50,densenet121,Pretrained,0.03244646333549643,0.25957170668397145,0.05750431282346176
gs50,densenet121,Scratch,0.03244646333549643,0.2920181700194679,0.05750431282346176
recon_gs0,resnet18,Pretrained,22.744970798182997,40.817650876054515,0.05750431282346176
recon_gs0,resnet18,Scratch,12.45944192083063,25.89227774172615,0.05750431282346176
recon_gs0,densenet121,Pretrained,14.503569110966904,28.325762491888383,0.05750431282346176
recon_gs0,densenet121,Scratch,7.527579493835172,17.45619727449708,0.05750431282346176
recon_gs50,resnet18,Pretrained,0.16223231667748217,0.8760545100584036,0.05750431282346176
recon_gs50,resnet18,Scratch,0.5840363400389358,1.589876703439325,0.05750431282346176
recon_gs50,densenet121,Pretrained,0.1946787800129786,0.9409474367293965,0.05750431282346176
recon_gs50,densenet121,Scratch,0.5515898767034394,2.1739130434782608,0.05750431282346176
