RunGroupID,Model,Initialization,GS_Level,GS_Percentage,TrainingFraction,Top1_Mean,Top1_Std,Top1_CI_Lower,Top1_CI_Upper,Top5_Mean,Top5_Std,F1_Mean,F1_Std,TrueProbTop5_Mean,TrueProbTop5_Std,TrueProbTop5_Median,LPIPS,MutualInfo,Entropy_GS,Entropy_Raw,N_Repeats,PerRun_Top1,Top1_GSTrain_RawTest,Top5_GSTrain_RawTest,F1_GSTrain_RawTest,TrueProbTop5Mean_GSTrain_RawTest,TrueProbTop5Median_GSTrain_RawTest,AccuracyDrop_pp,AccuracyDrop_relative,pvalue_vs_raw_paired
OASIS__densenet121_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Pretrained,Raw,0.0,1.0,86.24399615754083,7.079737544915841,77.45334093128731,95.03465138379435,96.27281460134486,2.244017540987431,0.8525528650024328,0.075909909580636,0.4257620933323411,0.0678232645750739,0.4118967890739441,0.0,1.0,4.5222308042958685,4.5222308042958685,5,"[92.98751200768491, 79.731027857829, 90.9702209414025, 77.52161383285303, 90.00960614793468]",,,,,,,,
OASIS__densenet121_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Pretrained,GS 0%,0.0,1.0,84.53410182516811,6.5845922436740105,76.35825069334632,92.7099529569899,95.4274735830932,3.210954635448572,0.833648423302602,0.0691508047070264,0.389621308194536,0.0686653190092172,0.3566931694746017,0.5218393802642822,0.4125832152694794,4.938536984607305,4.5222308042958685,5,"[90.10566762728146, 79.53890489913545, 89.04899135446685, 75.50432276657061, 88.47262247838617]",12.776176753121998,27.185398655139288,0.0882290664684704,0.0280955470722673,0.0,1.709894332372727,1.9826241924704928,0.0175539266516567
OASIS__densenet121_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Pretrained,GS 10%,10.0,1.0,75.54274735830931,8.083617721994745,65.50561025766649,85.57988445895214,92.29586935638808,3.956870167001892,0.7394185129631816,0.0814723432948227,0.3004707974982049,0.0468495518996504,0.2421169221401214,0.6481370329856873,0.2023413386514339,4.901445793644504,4.5222308042958685,5,"[83.76560999039386, 68.87608069164266, 80.8837656099904, 65.12968299711815, 79.05859750240154]",0.5763688760806917,2.689721421709894,8.251611966910622e-05,0.0039516441160804,0.0,10.701248799231522,12.408108710180455,3.418657204137381e-05
OASIS__densenet121_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Pretrained,GS 20%,20.0,1.0,66.35926993275697,10.687114806113836,53.089464233335,79.62907563217895,87.0509125840538,6.618280392375412,0.6409880993166296,0.1070993696067979,0.2494740130589142,0.0649804901529235,0.1793933436274528,0.6903079748153687,0.1417994811643935,4.728133332829723,4.5222308042958685,5,"[71.18155619596543, 55.61959654178674, 74.447646493756, 54.082612872238236, 76.46493756003842]",0.7684918347742555,2.2094140249759846,0.0002409365436293,0.0037854166592289,0.0,19.88472622478386,23.056359991089327,0.0006563390758668
OASIS__densenet121_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Pretrained,GS 30%,30.0,1.0,63.34293948126801,12.193111991546951,48.203191295297536,78.4826876672385,84.76464937560038,9.17666216833048,0.6113178400210101,0.1240809867502459,0.2327201094218922,0.0649391157298775,0.1644829034805298,0.7117288112640381,0.1112070327265939,4.791835736083657,4.5222308042958685,5,"[73.58309317963496, 48.89529298751201, 71.46974063400576, 51.20076849183477, 71.56580211335255]",0.7684918347742555,2.2094140249759846,0.0004627752905437,0.0043441586797622,0.0,22.901056676272823,26.55379817331255,0.0007091730658416
OASIS__densenet121_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Pretrained,GS 40%,40.0,1.0,60.01921229586935,12.518509965957628,44.47542915998472,75.56299543175399,83.5734870317003,8.641262687434784,0.5786975048646518,0.1260856467916488,0.2045314227705902,0.0570988227147165,0.1370249345898628,0.7245644330978394,0.0884083315660628,4.736914491822333,4.5222308042958685,5,"[69.93275696445725, 45.821325648414984, 66.85878962536023, 46.97406340057637, 70.50912584053795]",0.2881844380403458,2.5936599423631126,1.6918851548356896e-05,0.0033984099866824,0.0,26.224783861671483,30.40766317665405,0.0005614344625585
OASIS__densenet121_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Pretrained,GS 50%,50.0,1.0,56.31123919308358,13.825246067213325,39.144928885116585,73.47754950105058,79.86551392891451,10.204831185601838,0.5403568205729589,0.1357517826396279,0.1910142115826336,0.0502777279356075,0.1206948287785053,0.7407588958740234,0.0786283458072114,4.820259905521293,4.5222308042958685,5,"[68.29971181556196, 36.983669548511045, 64.64937560038425, 46.39769452449568, 65.22574447646494]",0.5763688760806917,2.4015369836695486,0.000276873379748,0.0032041701528455,0.0,29.93275696445725,34.707061706393404,0.0009298274166945
OASIS__densenet121_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Pretrained,Raw,0.0,1.0,86.24399615754083,7.079737544915841,77.45334093128731,95.03465138379435,96.27281460134486,2.244017540987431,0.8525528650024328,0.075909909580636,0.4257620933323411,0.0678232645750739,0.4118967890739441,0.0,1.0,4.5222308042958685,4.5222308042958685,5,"[92.98751200768491, 79.731027857829, 90.9702209414025, 77.52161383285303, 90.00960614793468]",,,,,,,,
OASIS__densenet121_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Pretrained,GS 0%,0.0,1.0,84.53410182516811,6.5845922436740105,76.35825069334632,92.7099529569899,95.4274735830932,3.210954635448572,0.833648423302602,0.0691508047070264,0.389621308194536,0.0686653190092172,0.3566931694746017,0.5218393802642822,0.4125832152694794,4.938536984607305,4.5222308042958685,5,"[90.10566762728146, 79.53890489913545, 89.04899135446685, 75.50432276657061, 88.47262247838617]",12.776176753121998,27.185398655139288,0.0882290664684704,0.0280955470722673,0.0,1.709894332372727,1.9826241924704928,0.0175539266516567
OASIS__densenet121_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Pretrained,GS 10%,10.0,1.0,75.54274735830931,8.083617721994745,65.50561025766649,85.57988445895214,92.29586935638808,3.956870167001892,0.7394185129631816,0.0814723432948227,0.3004707974982049,0.0468495518996504,0.2421169221401214,0.6481370329856873,0.2023413386514339,4.901445793644504,4.5222308042958685,5,"[83.76560999039386, 68.87608069164266, 80.8837656099904, 65.12968299711815, 79.05859750240154]",0.5763688760806917,2.689721421709894,8.251611966910622e-05,0.0039516441160804,0.0,10.701248799231522,12.408108710180455,3.418657204137381e-05
OASIS__densenet121_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Pretrained,GS 20%,20.0,1.0,66.35926993275697,10.687114806113836,53.089464233335,79.62907563217895,87.0509125840538,6.618280392375412,0.6409880993166296,0.1070993696067979,0.2494740130589142,0.0649804901529235,0.1793933436274528,0.6903079748153687,0.1417994811643935,4.728133332829723,4.5222308042958685,5,"[71.18155619596543, 55.61959654178674, 74.447646493756, 54.082612872238236, 76.46493756003842]",0.7684918347742555,2.2094140249759846,0.0002409365436293,0.0037854166592289,0.0,19.88472622478386,23.056359991089327,0.0006563390758668
OASIS__densenet121_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Pretrained,GS 30%,30.0,1.0,63.34293948126801,12.193111991546951,48.203191295297536,78.4826876672385,84.76464937560038,9.17666216833048,0.6113178400210101,0.1240809867502459,0.2327201094218922,0.0649391157298775,0.1644829034805298,0.7117288112640381,0.1112070327265939,4.791835736083657,4.5222308042958685,5,"[73.58309317963496, 48.89529298751201, 71.46974063400576, 51.20076849183477, 71.56580211335255]",0.7684918347742555,2.2094140249759846,0.0004627752905437,0.0043441586797622,0.0,22.901056676272823,26.55379817331255,0.0007091730658416
