RunGroupID,Model,Initialization,GS_Level,GS_Percentage,TrainingFraction,Top1_Mean,Top1_Std,Top1_CI_Lower,Top1_CI_Upper,Top5_Mean,Top5_Std,F1_Mean,F1_Std,TrueProbTop5_Mean,TrueProbTop5_Std,TrueProbTop5_Median,LPIPS,MutualInfo,Entropy_GS,Entropy_Raw,N_Repeats,PerRun_Top1,Top1_GSTrain_RawTest,Top5_GSTrain_RawTest,F1_GSTrain_RawTest,TrueProbTop5Mean_GSTrain_RawTest,TrueProbTop5Median_GSTrain_RawTest,AccuracyDrop_pp,AccuracyDrop_relative,pvalue_vs_raw_paired
OASIS__densenet121_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Scratch,Raw,0.0,1.0,73.62151777137368,11.502855762269352,59.33883589483308,87.90419964791427,93.27569644572526,5.425560517365207,0.7101506210728112,0.1232158799254582,0.3469050567894172,0.0780556651975204,0.3164736807346344,0.0,1.0,4.5222308042958685,4.5222308042958685,5,"[79.53890489913545, 62.824207492795395, 82.61287223823247, 59.5581171950048, 83.5734870317003]",,,,,,,,
OASIS__densenet121_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Scratch,GS 0%,0.0,1.0,74.10182516810758,11.554682678443571,59.75479167561553,88.44885866059963,93.67915465898174,4.555279511950819,0.7140711769818398,0.1212732142369578,0.3402370061528557,0.0692286031312675,0.309592467546463,0.5221788883209229,0.4136471672470445,4.94739705069876,4.5222308042958685,5,"[79.2507204610951, 61.863592699327576, 85.39865513928915, 61.47934678194045, 82.51681075888568]",0.4803073967339097,3.073967339097022,0.0017958675019193,0.0041677767874299,0.0,-0.480307396733906,-0.6524008350730639,0.5751253905000784
OASIS__densenet121_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Scratch,GS 10%,10.0,1.0,62.958693563880885,10.47237558108475,49.9555218291797,75.96186529858207,88.43419788664745,6.049051688158481,0.5942526413707969,0.1070227181725614,0.2653567495742431,0.0534987001744002,0.2180050641298294,0.6465691328048706,0.2022337303654373,4.899303474835842,4.5222308042958685,5,"[65.60999039385207, 52.92987512007685, 71.75792507204612, 51.008645533141205, 73.48703170028818]",0.2881844380403458,1.729106628242075,1.6578203530604747e-05,0.0031061445246115,0.0,10.66282420749279,14.483298538622122,0.0002868627798503
OASIS__densenet121_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Scratch,GS 20%,20.0,1.0,60.32660902977906,10.096285407048423,47.79041492425697,72.86280313530115,85.93659942363112,6.512585742762343,0.5600210948193658,0.1039116263682028,0.2312996904864034,0.0480705274489145,0.1836541593074798,0.6923155784606934,0.1464883779963026,4.918608592542577,4.5222308042958685,5,"[62.055715658021136, 50.816522574447646, 67.43515850144092, 49.183477425552354, 72.14217098943324]",0.6724303554274735,2.2094140249759846,0.0002032550398618,0.0055374528364592,0.0,13.294908741594618,18.058455114822543,0.0005434872105628
OASIS__densenet121_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Scratch,GS 30%,30.0,1.0,54.85110470701248,9.567887301890943,42.97100350538352,66.73120590864144,82.26705091258407,7.590862950599554,0.5005962417345702,0.0993647981257825,0.1827528103921244,0.0386433424381341,0.1389856353402137,0.7187329530715942,0.1091977391154964,4.773731452515827,4.5222308042958685,5,"[55.61959654178674, 43.51585014409222, 63.20845341018252, 46.87800192122959, 65.03362151777138]",0.4803073967339097,2.4015369836695486,0.0001343833315353,0.0043605435854333,0.0,18.7704130643612,25.495824634655538,0.0004712704245872
OASIS__densenet121_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Scratch,GS 40%,40.0,1.0,51.431316042267056,8.33346482855723,41.083952784350224,61.77867930018389,80.55715658021134,6.931286736497743,0.4653078877574556,0.0867140601259037,0.1533639370264283,0.0264074282486693,0.1089728578925132,0.7302873730659485,0.0906510647989129,4.814372385440703,4.5222308042958685,5,"[47.45437079731028, 46.20557156580211, 59.17387127761767, 42.84341978866475, 61.47934678194045]",0.9606147934678196,2.785782901056676,0.0008130709836035,0.0077512104960657,0.0,22.19020172910662,30.14091858037577,0.0014340783623609
OASIS__densenet121_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,densenet121,Scratch,GS 50%,50.0,1.0,46.82036503362152,9.25850285571618,35.324415360411976,58.316314706831065,77.52161383285303,8.632982671830806,0.4168016259794527,0.0958582433209336,0.121303271040621,0.025386448349781,0.0848414666950702,0.741445779800415,0.0759666964535144,4.73446500118721,4.5222308042958685,5,"[41.59462055715658, 36.983669548511045, 56.48414985590778, 42.07492795389049, 56.96445725264169]",1.536983669548511,4.226705091258405,0.0034229411477403,0.0061461751552354,0.0,26.801152737752155,36.40396659707724,0.0011917084710236
