RunGroupID,Model,Initialization,GS_Level,GS_Percentage,TrainingFraction,Top1_Mean,Top1_Std,Top1_CI_Lower,Top1_CI_Upper,Top5_Mean,Top5_Std,F1_Mean,F1_Std,TrueProbTop5_Mean,TrueProbTop5_Std,TrueProbTop5_Median,LPIPS,MutualInfo,Entropy_GS,Entropy_Raw,N_Repeats,PerRun_Top1,Top1_GSTrain_RawTest,Top5_GSTrain_RawTest,F1_GSTrain_RawTest,TrueProbTop5Mean_GSTrain_RawTest,TrueProbTop5Median_GSTrain_RawTest,AccuracyDrop_pp,AccuracyDrop_relative,pvalue_vs_raw_paired
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,Raw,0.0,1.0,71.08549471661864,11.492101001912149,56.81616663882289,85.35482279441439,89.47166186359269,5.699126068507848,0.6822773608076202,0.1230583940254106,0.3576792138679656,0.0836126992749944,0.3296331614255905,0.0,1.0,4.5222308042958685,4.5222308042958685,5,"[75.98463016330452, 58.98174831892411, 79.63496637848223, 58.501440922190206, 82.32468780019212]",,,,,,,,
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 0%,0.0,1.0,70.70124879923151,11.7114269603551,56.15959157496561,85.2429060234974,88.83765609990394,6.047449704594734,0.6774129072976335,0.1213530350117215,0.3613268302558535,0.0995873503112841,0.3424493372440338,0.5174590349197388,0.4130506997560598,4.941877573176037,4.5222308042958685,5,"[73.77521613832853, 60.6147934678194, 80.97982708933718, 56.29202689721422, 81.84438040345822]",0.2881844380403458,1.440922190201729,1.7936790749399115e-05,0.002571097246347,0.0,0.3842459173871333,0.5405405405405483,0.6669467041586509
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 10%,10.0,1.0,65.97502401536984,11.358107184094012,51.87207123714074,80.07797679359894,86.76272814601344,6.794066547264057,0.6262059778198107,0.1173320538039888,0.3178852570625191,0.0740716107335387,0.2743526548147201,0.6573413014411926,0.2012578240511248,4.83966103043357,4.5222308042958685,5,"[71.37367915465899, 54.082612872238236, 77.7137367915466, 53.506243996157544, 73.19884726224784]",1.0566762728146013,2.3054755043227666,0.0007548778328136,0.0058983959450845,0.0,5.110470701248801,7.18918918918919,0.0114115778380804
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 20%,20.0,1.0,63.59269932756964,10.367299142832168,50.71999722330617,76.46540143183311,84.93756003842459,6.322348860128612,0.6033949112047094,0.1070116618764152,0.3004390889422665,0.0744595737251003,0.2580958038568496,0.6884264945983887,0.1440571293672593,4.810004695197341,4.5222308042958685,5,"[66.57060518731988, 53.79442843419788, 74.35158501440922, 51.5850144092219, 71.66186359269932]",0.2881844380403458,1.633045148895293,1.6674123705323772e-05,0.0033380062490214,0.0,7.492795389049,10.540540540540553,0.0024406182937421
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 30%,30.0,1.0,58.578290105667634,11.11709834526881,44.77458932585669,72.38199088547859,82.32468780019212,6.670223037995802,0.5513387956903807,0.113618564799707,0.263774985599973,0.0683400747345666,0.206093943119049,0.7161145210266113,0.1121099941895136,4.846626442098772,4.5222308042958685,5,"[61.287223823246876, 48.222862632084535, 68.97214217098944, 45.629202689721424, 68.78001921229587]",0.2881844380403458,1.633045148895293,4.803073967339097e-05,0.0024549427257061,0.0,12.507204610951009,17.594594594594593,9.27643744970004e-05
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 40%,40.0,1.0,55.00480307396735,11.612040997377772,40.58654982185721,69.42305632607749,79.03938520653219,9.242991415460692,0.5172980610393731,0.1164251831493582,0.2296419002863647,0.0667482284228436,0.1721592664718628,0.7294638156890869,0.0903765573521938,4.752215361550785,4.5222308042958685,5,"[56.099903938520654, 45.43707973102786, 67.53121998078771, 41.114313160422675, 64.84149855907782]",0.2881844380403458,1.921229586935639,5.962436649110603e-05,0.0028126317279468,0.0,16.080691642651296,22.621621621621617,0.0003476814024856
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 50%,50.0,1.0,49.97118155619596,12.754743565576982,34.13407566449788,65.80828744789403,76.25360230547551,9.96736798208197,0.4655463636587555,0.1287942236322748,0.1950819551848111,0.0650315438839857,0.1427414819598197,0.7410730719566345,0.0797039307217169,4.858465051093315,4.5222308042958685,5,"[50.5283381364073, 37.27185398655139, 64.07300672430355, 36.983669548511045, 60.99903938520653]",0.3842459173871277,2.2094140249759846,0.0001502323937798,0.0032828300046187,0.0,21.11431316042268,29.70270270270272,0.0001835705168146
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,Raw,0.0,1.0,71.08549471661864,11.492101001912149,56.81616663882289,85.35482279441439,89.47166186359269,5.699126068507848,0.6822773608076202,0.1230583940254106,0.3576792138679656,0.0836126992749944,0.3296331614255905,0.0,1.0,4.5222308042958685,4.5222308042958685,5,"[75.98463016330452, 58.98174831892411, 79.63496637848223, 58.501440922190206, 82.32468780019212]",,,,,,,,
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 0%,0.0,1.0,70.70124879923151,11.7114269603551,56.15959157496561,85.2429060234974,88.83765609990394,6.047449704594734,0.6774129072976335,0.1213530350117215,0.3613268302558535,0.0995873503112841,0.3424493372440338,0.5174590349197388,0.4130506997560598,4.941877573176037,4.5222308042958685,5,"[73.77521613832853, 60.6147934678194, 80.97982708933718, 56.29202689721422, 81.84438040345822]",0.2881844380403458,1.440922190201729,1.7936790749399115e-05,0.002571097246347,0.0,0.3842459173871333,0.5405405405405483,0.6669467041586509
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 10%,10.0,1.0,65.97502401536984,11.358107184094012,51.87207123714074,80.07797679359894,86.76272814601344,6.794066547264057,0.6262059778198107,0.1173320538039888,0.3178852570625191,0.0740716107335387,0.2743526548147201,0.6573413014411926,0.2012578240511248,4.83966103043357,4.5222308042958685,5,"[71.37367915465899, 54.082612872238236, 77.7137367915466, 53.506243996157544, 73.19884726224784]",1.0566762728146013,2.3054755043227666,0.0007548778328136,0.0058983959450845,0.0,5.110470701248801,7.18918918918919,0.0114115778380804
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 20%,20.0,1.0,63.59269932756964,10.367299142832168,50.71999722330617,76.46540143183311,84.93756003842459,6.322348860128612,0.6033949112047094,0.1070116618764152,0.3004390889422665,0.0744595737251003,0.2580958038568496,0.6884264945983887,0.1440571293672593,4.810004695197341,4.5222308042958685,5,"[66.57060518731988, 53.79442843419788, 74.35158501440922, 51.5850144092219, 71.66186359269932]",0.2881844380403458,1.633045148895293,1.6674123705323772e-05,0.0033380062490214,0.0,7.492795389049,10.540540540540553,0.0024406182937421
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 30%,30.0,1.0,58.578290105667634,11.11709834526881,44.77458932585669,72.38199088547859,82.32468780019212,6.670223037995802,0.5513387956903807,0.113618564799707,0.263774985599973,0.0683400747345666,0.206093943119049,0.7161145210266113,0.1121099941895136,4.846626442098772,4.5222308042958685,5,"[61.287223823246876, 48.222862632084535, 68.97214217098944, 45.629202689721424, 68.78001921229587]",0.2881844380403458,1.633045148895293,4.803073967339097e-05,0.0024549427257061,0.0,12.507204610951009,17.594594594594593,9.27643744970004e-05
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 40%,40.0,1.0,55.00480307396735,11.612040997377772,40.58654982185721,69.42305632607749,79.03938520653219,9.242991415460692,0.5172980610393731,0.1164251831493582,0.2296419002863647,0.0667482284228436,0.1721592664718628,0.7294638156890869,0.0903765573521938,4.752215361550785,4.5222308042958685,5,"[56.099903938520654, 45.43707973102786, 67.53121998078771, 41.114313160422675, 64.84149855907782]",0.2881844380403458,1.921229586935639,5.962436649110603e-05,0.0028126317279468,0.0,16.080691642651296,22.621621621621617,0.0003476814024856
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 50%,50.0,1.0,49.97118155619596,12.754743565576982,34.13407566449788,65.80828744789403,76.25360230547551,9.96736798208197,0.4655463636587555,0.1287942236322748,0.1950819551848111,0.0650315438839857,0.1427414819598197,0.7410730719566345,0.0797039307217169,4.858465051093315,4.5222308042958685,5,"[50.5283381364073, 37.27185398655139, 64.07300672430355, 36.983669548511045, 60.99903938520653]",0.3842459173871277,2.2094140249759846,0.0001502323937798,0.0032828300046187,0.0,21.11431316042268,29.70270270270272,0.0001835705168146
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,Raw,0.0,1.0,71.08549471661864,11.492101001912149,56.81616663882289,85.35482279441439,89.47166186359269,5.699126068507848,0.6822773608076202,0.1230583940254106,0.3576792138679656,0.0836126992749944,0.3296331614255905,0.0,1.0,4.5222308042958685,4.5222308042958685,5,"[75.98463016330452, 58.98174831892411, 79.63496637848223, 58.501440922190206, 82.32468780019212]",,,,,,,,
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 0%,0.0,1.0,70.70124879923151,11.7114269603551,56.15959157496561,85.2429060234974,88.83765609990394,6.047449704594734,0.6774129072976335,0.1213530350117215,0.3613268302558535,0.0995873503112841,0.3424493372440338,0.5174590349197388,0.4130506997560598,4.941877573176037,4.5222308042958685,5,"[73.77521613832853, 60.6147934678194, 80.97982708933718, 56.29202689721422, 81.84438040345822]",0.2881844380403458,1.440922190201729,1.7936790749399115e-05,0.002571097246347,0.0,0.3842459173871333,0.5405405405405483,0.6669467041586509
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 10%,10.0,1.0,65.97502401536984,11.358107184094012,51.87207123714074,80.07797679359894,86.76272814601344,6.794066547264057,0.6262059778198107,0.1173320538039888,0.3178852570625191,0.0740716107335387,0.2743526548147201,0.6573413014411926,0.2012578240511248,4.83966103043357,4.5222308042958685,5,"[71.37367915465899, 54.082612872238236, 77.7137367915466, 53.506243996157544, 73.19884726224784]",1.0566762728146013,2.3054755043227666,0.0007548778328136,0.0058983959450845,0.0,5.110470701248801,7.18918918918919,0.0114115778380804
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 20%,20.0,1.0,63.59269932756964,10.367299142832168,50.71999722330617,76.46540143183311,84.93756003842459,6.322348860128612,0.6033949112047094,0.1070116618764152,0.3004390889422665,0.0744595737251003,0.2580958038568496,0.6884264945983887,0.1440571293672593,4.810004695197341,4.5222308042958685,5,"[66.57060518731988, 53.79442843419788, 74.35158501440922, 51.5850144092219, 71.66186359269932]",0.2881844380403458,1.633045148895293,1.6674123705323772e-05,0.0033380062490214,0.0,7.492795389049,10.540540540540553,0.0024406182937421
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 30%,30.0,1.0,58.578290105667634,11.11709834526881,44.77458932585669,72.38199088547859,82.32468780019212,6.670223037995802,0.5513387956903807,0.113618564799707,0.263774985599973,0.0683400747345666,0.206093943119049,0.7161145210266113,0.1121099941895136,4.846626442098772,4.5222308042958685,5,"[61.287223823246876, 48.222862632084535, 68.97214217098944, 45.629202689721424, 68.78001921229587]",0.2881844380403458,1.633045148895293,4.803073967339097e-05,0.0024549427257061,0.0,12.507204610951009,17.594594594594593,9.27643744970004e-05
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 40%,40.0,1.0,55.00480307396735,11.612040997377772,40.58654982185721,69.42305632607749,79.03938520653219,9.242991415460692,0.5172980610393731,0.1164251831493582,0.2296419002863647,0.0667482284228436,0.1721592664718628,0.7294638156890869,0.0903765573521938,4.752215361550785,4.5222308042958685,5,"[56.099903938520654, 45.43707973102786, 67.53121998078771, 41.114313160422675, 64.84149855907782]",0.2881844380403458,1.921229586935639,5.962436649110603e-05,0.0028126317279468,0.0,16.080691642651296,22.621621621621617,0.0003476814024856
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 50%,50.0,1.0,49.97118155619596,12.754743565576982,34.13407566449788,65.80828744789403,76.25360230547551,9.96736798208197,0.4655463636587555,0.1287942236322748,0.1950819551848111,0.0650315438839857,0.1427414819598197,0.7410730719566345,0.0797039307217169,4.858465051093315,4.5222308042958685,5,"[50.5283381364073, 37.27185398655139, 64.07300672430355, 36.983669548511045, 60.99903938520653]",0.3842459173871277,2.2094140249759846,0.0001502323937798,0.0032828300046187,0.0,21.11431316042268,29.70270270270272,0.0001835705168146
