RunGroupID,Model,Initialization,GS_Level,GS_Percentage,Top1_Mean,Top1_Std,Top1_CI_Lower,Top1_CI_Upper,Top5_Mean,Top5_Std,F1_Mean,F1_Std,TrueProbTop5_Mean,TrueProbTop5_Median,Top1_GSTrain_RawTest,Top5_GSTrain_RawTest,F1_GSTrain_RawTest,TrueProb_GSTrain_RawTest_Mean,TrueProb_GSTrain_RawTest_Median,AccuracyDrop_pp,AccuracyDrop_relative,pvalue_vs_raw_paired,N_Repeats,PerRun_Top1
NIH_CXR__resnet18_Pretrained__NR5__E30__LR0.0005__B64,resnet18,Pretrained,raw,0.0,69.48734587929916,0.24453528463876376,69.27300125171413,69.70169050688418,81.7196625567813,0.5194475098970167,0.6554840859096178,0.00318711491790812,0.18144826408104558,0.06887662038207054,,,,,,,,,5,"[69.37053861129137, 69.63011031797534, 69.63011031797534, 69.69500324464633, 69.1109669046074]"
NIH_CXR__resnet18_Pretrained__NR5__E30__LR0.0005__B64,resnet18,Pretrained,gs50,50.0,13.419857235561324,1.746481939097259,11.888998319340853,14.950716151781794,26.742375081116155,2.312069500617627,0.10955318890237538,0.015091177169098054,0.016143879172057375,0.0,0.06489292667099286,0.32446463335496434,5.721841776774208e-06,0.00037408825964953973,0.0,56.06748864373783,80.6873365591764,3.210993336692026e-07,5,"[16.19078520441272, 11.810512654120702, 12.978585334198572, 12.199870214146657, 13.91953277092797]"
NIH_CXR__resnet18_Pretrained__NR5__E30__LR0.0005__B64,resnet18,Pretrained,gs40,40.0,18.345230369889684,1.0852844849899688,17.393936575611225,19.296524164168144,33.30304996755354,1.2158984743806616,0.15209623677708786,0.010961702621438857,0.022625506742803607,0.0,0.0973393900064893,0.2920181700194679,2.2717753214207117e-06,0.0003659778158558142,0.0,51.14211550940947,73.59917817394319,2.2226089683705274e-08,5,"[18.364698247890978, 18.624269954574952, 19.662556781310837, 18.429591174561974, 16.64503569110967]"
NIH_CXR__resnet18_Pretrained__NR5__E30__LR0.0005__B64,resnet18,Pretrained,gs30,30.0,24.64633354964309,1.2288174353786947,23.56922757720515,25.723439522081026,40.72031148604802,1.2378655325720511,0.2097576380555104,0.011919373133572506,0.033294959610302696,0.0,0.0973393900064893,0.7787151200519143,0.0003292403793029575,0.0004130255559061658,0.0,44.84101232965607,64.5311916231376,2.10896676007972e-07,5,"[26.703439325113564, 24.36729396495782, 23.685918234912396, 23.75081116158339, 24.72420506164828]"
NIH_CXR__resnet18_Pretrained__NR5__E30__LR0.0005__B64,resnet18,Pretrained,gs20,20.0,32.076573653471776,0.5756847531788947,31.571963718718244,32.58118358822531,49.175859831278395,0.6167389064679578,0.2770498130072597,0.005448843043114052,0.04972286215127554,0.0,0.12978585334198572,0.7138221933809215,0.00036519084264273715,0.00037677812351954597,0.0,37.41077222582738,53.83825176662638,2.292971493486712e-08,5,"[32.965606748864374, 31.732641142115508, 32.34912394548994, 31.602855288773522, 31.732641142115508]"
NIH_CXR__resnet18_Pretrained__NR5__E30__LR0.0005__B64,resnet18,Pretrained,gs10,10.0,42.14795587280986,1.0841683612331996,41.19764040413924,43.098271341480476,58.539909149902655,1.15684269283527,0.3736238836238836,0.00990043520131443,0.07906431787805045,0.01663737092167139,0.0973393900064893,0.6489292667099287,5.713293116983162e-06,0.0005454925631670346,0.0,27.339390006489296,39.344415384700255,7.461291278940763e-07,5,"[41.88838416612589, 42.24529526281635, 43.608046722907204, 40.59052563270604, 42.40752757949384]"
NIH_CXR__resnet18_Pretrained__NR5__E30__LR0.0005__B64,resnet18,Pretrained,gs0,0.0,62.51135626216743,1.3430249259572835,61.334143010439924,63.68856951389494,76.4308890330954,0.956648082685578,0.5814490257043449,0.013741818268982674,0.14986261577441523,0.0467862393707037,38.416612589227775,55.67813108371188,0.34403345465854945,0.044779978071700234,0.011430590879172087,6.975989617131724,10.039223009388254,0.0003144520665102271,5,"[60.64243997404283, 62.68656716417911, 64.21155094094743, 61.8754055807917, 63.14081765087606]"
NIH_CXR__resnet18_Scratch__NR5__E30__LR0.0005__B64,resnet18,Scratch,raw,0.0,20.467229072031152,0.413867326967381,20.104458365139195,20.82999977892311,37.42375081116158,1.0361553397269905,0.17132552834680492,0.005024926840040449,0.06177147470020594,0.0,,,,,,,,,5,"[20.149253731343283, 20.181700194678783, 20.798182998053214, 21.02530824140169, 20.181700194678783]"
NIH_CXR__resnet18_Scratch__NR5__E30__LR0.0005__B64,resnet18,Scratch,gs50,50.0,8.449059052563271,0.4859392761269647,8.023114496855353,8.87500360827119,19.695003244646333,0.4371250352143888,0.05952838037944421,0.0037117214292897212,0.01462883608969319,0.0,0.06489292667099286,0.3569110966904607,9.829797063839618e-07,0.0007463513736327231,0.0,12.018170019467881,58.719086845121716,2.307601774512914e-06,5,"[8.63075924724205, 8.663205710577547, 9.052563270603505, 7.91693705386113, 7.9818299805321224]"
NIH_CXR__resnet18_Scratch__NR5__E30__LR0.0005__B64,resnet18,Scratch,gs40,40.0,9.753406878650228,0.796625102630703,9.055134188880748,10.451679568419708,21.62881245944192,1.3856577378133643,0.07062577956194978,0.006503278920703096,0.018590625195650988,0.0,0.06489292667099286,0.25957170668397145,7.629096228651643e-07,0.0006143607194357148,0.0,10.713822193380924,52.3462269877408,2.5929244733619314e-05,5,"[10.64243997404283, 10.577547047371837, 8.987670343932512, 9.409474367293964, 9.149902660609992]"
