fold,arch,init,train_condition,attacker_type,eval_split,eval_condition,seed,k_gallery,k_probe,level,rank1,rank5,top1_sim,margin,p_top1,auc,tar_at_far_1pct,mean_sim_same,mean_sim_diff,n_pos_pairs,n_neg_pairs
3,densenet121,pretrained,raw,adaptive,test,raw,1337,1,1,slice_level,0.5652173913043478,0.7971014492753623,0.8220597436462623,0.03038862390794616,0.06732207839039789,0.9138095061591115,0.4782608695652174,0.802151223887568,0.7058286557366272,69,4692
3,densenet121,pretrained,raw,adaptive,test,raw,1337,1,1,subject_level,0.5652173913043478,0.7971014492753623,0.8220597842465276,0.030388601448224938,0.06732207558293274,0.9138095061591114,0.4782608695652174,0.8021512705346813,0.7058286970609899,69,4692
4,densenet121,pretrained,raw,adaptive,train,raw,1337,1,1,slice_level,0.45045045045045046,0.6621621621621622,0.9196609409005793,0.011728949911959536,0.021966314920736058,0.9279354354354356,0.32882882882882886,0.9057939747969309,0.711015424729736,222,44400
4,densenet121,pretrained,raw,adaptive,train,raw,1337,1,1,subject_level,0.45045045045045046,0.6621621621621622,0.9196609964778831,0.011728950180448927,0.02196631497107782,0.9280305742944852,0.32882882882882886,0.9057940365494909,0.7105975963029815,222,49062
4,densenet121,pretrained,raw,adaptive,test,raw,1337,1,1,slice_level,0.4492753623188406,0.6521739130434783,0.9009124152902244,0.014344418394392815,0.06462690655304038,0.8496793802587198,0.2898550724637681,0.8672457250995912,0.7381485017351583,69,4692
4,densenet121,pretrained,raw,adaptive,test,raw,1337,1,1,subject_level,0.4492753623188406,0.6521739130434783,0.9009124999460967,0.014344416666721952,0.06462691902466443,0.8496793802587198,0.2898550724637681,0.8672458019809447,0.7381485532095874,69,4692
0,densenet121,pretrained,gs0,adaptive,train,gs0,1337,1,1,slice_level,0.3755656108597285,0.5656108597285068,0.8337279283083402,0.01886231084754564,0.029966145437800778,0.9254895477160583,0.4117647058823529,0.8045613048303181,0.6727756353457589,221,44200
0,densenet121,pretrained,gs0,adaptive,train,gs0,1337,1,1,subject_level,0.3755656108597285,0.5656108597285068,0.8337279728095456,0.01886231408399694,0.029966147498510003,0.9254600735968849,0.4072398190045249,0.8045613555347219,0.6727945044244429,221,48620
0,densenet121,pretrained,gs0,adaptive,test,gs0,1337,1,1,slice_level,0.38571428571428573,0.6857142857142857,0.8188309959002904,0.01817158375467573,0.06755050000335489,0.9093404318249039,0.35714285714285715,0.7954022867338998,0.687065256221941,70,4830
0,densenet121,pretrained,gs0,adaptive,test,gs0,1337,1,1,subject_level,0.38571428571428573,0.6857142857142857,0.8188310623168945,0.018171607596533638,0.06755052033279624,0.9093404318249039,0.35714285714285715,0.7954023386750902,0.6870653012586183,70,4830
0,densenet121,pretrained,gs0,blind,train,raw,1337,1,1,slice_level,0.3891402714932127,0.5384615384615384,0.9841500485644621,0.0040168044793659746,0.0068308284898115764,0.8747904936426363,0.3257918552036199,0.9772235842851492,0.954317171959316,221,44200
0,densenet121,pretrained,gs0,blind,train,raw,1337,1,1,subject_level,0.3891402714932127,0.5384615384615384,0.9841501243513634,0.004016811221972849,0.006830828397100732,0.8747299213961445,0.3257918552036199,0.9772236660055446,0.9543350927369284,221,48620
0,densenet121,pretrained,gs0,blind,test,raw,1337,1,1,slice_level,0.5571428571428572,0.6857142857142857,0.9826193426336561,0.0052865845816476,0.021247417320098196,0.8432948831706595,0.4142857142857143,0.9762553478990282,0.9535472886409325,70,4830
0,densenet121,pretrained,gs0,blind,test,raw,1337,1,1,subject_level,0.5571428571428572,0.6857142857142857,0.9826194439615522,0.005286582027162825,0.021247419315789426,0.8432948831706596,0.4142857142857143,0.9762554441179548,0.9535473830458047,70,4830
1,densenet121,pretrained,gs0,adaptive,train,gs0,1337,1,1,slice_level,0.37104072398190047,0.5701357466063348,0.8120021105352031,0.018835448301755466,0.025865159195540176,0.8932771134907147,0.45248868778280543,0.7787262338858384,0.6785338071764054,221,44200
1,densenet121,pretrained,gs0,adaptive,train,gs0,1337,1,1,subject_level,0.37104072398190047,0.5701357466063348,0.8120021517999572,0.01883544425619134,0.025865159191326047,0.8929102970492377,0.45248868778280543,0.7787262816234951,0.6786818459997791,221,48620
